pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,raw_ncc,prominence,runtime_ms
pair_170,Set C,gen_050,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4959,0.5944,0.1451,533.69
pair_171,Set C,gen_051,0,1,0.0,0.0,469.3,493.3,999.0,0.0,12.0,999.0,0.0,0.0,999.0,0.6255,0.6095,0.1737,516.12
pair_172,Set C,gen_052,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4014,0.5975,0.1217,482.74
pair_173,Set C,gen_053,0,1,0.0,0.0,724.3,745.7,999.0,0.0,11.75,999.0,0.0,4.0,999.0,0.5464,0.6095,0.1233,434.52
pair_174,Set C,gen_054,0,1,0.0,0.0,529.71,549.91,999.0,0.0,10.75,999.0,0.0,5.0,999.0,0.5693,0.612,0.1306,449.97
pair_175,Set C,gen_055,0,1,0.0,0.0,950.7,957.39,999.0,0.0,11.75,999.0,0.0,-1.0,999.0,0.5658,0.6246,0.1146,428.66
pair_176,Set C,gen_056,0,1,0.0,0.0,950.7,957.39,999.0,0.0,11.75,999.0,0.0,-1.0,999.0,0.5658,0.6246,0.1146,435.59
pair_177,Set C,gen_057,0,1,0.0,0.0,433.2,911.8,999.0,0.0,8.75,999.0,0.0,3.5,999.0,0.8637,0.6568,0.1294,500.61
pair_178,Set C,gen_058,0,1,0.0,0.0,473.7,932.84,999.0,0.0,10.75,999.0,0.0,1.0,999.0,0.7105,0.6509,0.1139,406.56
pair_179,Set C,gen_059,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1255,0.5868,0.1275,509.82
pair_180,Set C,gen_060,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1255,0.5868,0.1275,502.87
pair_181,Set D,gen_001,1,1,669.0,376.0,668.2,376.8,1.13,9.44,9.25,0.19,-2.082,-2.5,0.42,0.9988,0.9553,0.3312,619.71
pair_182,Set D,gen_002,1,1,614.0,361.0,613.2,361.8,1.13,8.666,8.75,0.08,4.834,5.0,0.17,0.9989,0.9758,0.2898,594.33
pair_183,Set D,gen_003,1,1,521.0,511.0,519.75,509.7,1.8,9.506,9.75,0.24,2.521,2.5,0.02,0.9982,0.9493,0.5766,663.79
pair_184,Set D,gen_004,1,1,382.0,646.0,383.3,646.23,1.32,10.703,10.75,0.05,-1.021,-1.0,0.02,0.998,0.9902,0.6549,586.08
pair_185,Set D,gen_005,1,1,470.0,520.0,469.85,520.8,0.81,9.43,9.25,0.18,-4.296,-4.0,0.3,0.9976,0.9007,0.664,650.25
pair_186,Set D,gen_006,1,1,297.0,732.0,297.02,732.29,0.29,11.76,11.75,0.01,-4.899,-5.0,0.1,0.998,0.9836,0.842,545.99
pair_187,Set D,gen_007,1,1,454.0,498.0,454.0,498.66,0.66,8.246,8.25,0.0,3.095,3.5,0.4,0.9941,0.9762,0.5068,562.67
pair_188,Set D,gen_008,1,1,378.0,657.0,378.04,656.85,0.16,10.29,10.25,0.04,-1.864,-1.0,0.86,0.9978,0.9416,0.3665,549.91
pair_189,Set D,gen_009,1,1,481.0,436.0,480.53,435.2,0.93,9.448,9.25,0.2,-0.682,-1.0,0.32,0.9976,0.9482,0.5637,630.14
pair_190,Set D,gen_010,1,1,389.0,553.0,388.65,552.7,0.46,8.467,8.75,0.28,-0.517,-1.0,0.48,0.9539,0.9226,0.4064,586.87
pair_191,Set D,gen_011,1,1,537.0,466.0,371.73,465.2,165.27,10.332,10.0,0.33,2.423,0.0,2.42,0.999,0.9975,0.9604,513.3
pair_192,Set D,gen_012,1,1,490.0,365.0,490.58,530.15,165.15,8.563,10.0,1.44,0.456,0.0,0.46,0.999,0.9979,0.7362,647.44
pair_193,Set D,gen_013,1,1,494.0,722.0,304.77,532.7,267.66,9.412,10.0,0.59,-1.172,0.0,1.17,0.999,0.9982,0.6695,622.08
pair_194,Set D,gen_014,1,1,346.0,513.0,535.2,608.68,212.02,8.976,10.0,1.02,2.205,0.0,2.21,0.999,0.9981,0.6751,653.55
pair_195,Set D,gen_015,1,1,471.0,392.0,470.7,392.3,0.42,11.101,11.25,0.15,-3.797,-4.0,0.2,0.9976,0.9736,0.314,581.39
pair_196,Set D,gen_016,1,1,274.0,523.0,464.46,808.8,343.45,9.346,10.0,0.65,-3.927,0.0,3.93,0.999,0.9974,0.6151,602.4
pair_197,Set D,gen_017,1,1,482.0,297.0,482.8,297.8,1.13,10.248,10.25,0.0,4.409,4.0,0.41,0.9978,0.9881,0.7579,616.8
pair_198,Set D,gen_018,1,1,537.0,508.0,537.8,508.57,0.98,9.468,9.25,0.22,-3.736,-3.5,0.24,0.9954,0.9369,0.6463,649.95
pair_199,Set D,gen_019,1,1,513.0,529.0,513.3,527.7,1.33,9.547,9.75,0.2,-4.35,-4.0,0.35,0.9977,0.9621,0.6311,619.49
pair_200,Set D,gen_020,1,1,499.0,277.0,497.7,278.08,1.69,10.825,11.0,0.18,-3.846,-3.5,0.35,0.9975,0.9501,0.6032,570.25
