pair_id,set,gen_id,gt_found,pred_found,gt_x,gt_y,pred_x,pred_y,loc_err,gt_scale,pred_scale,scale_err,gt_theta,pred_theta,theta_err,pred_score,grad_ncc,raw_siamese,runtime_ms
pair_170,Set C,gen_050,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.5659,0.11,484.24
pair_171,Set C,gen_051,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4407,0.6041,0.1962,416.54
pair_172,Set C,gen_052,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4255,0.6004,0.1895,449.82
pair_173,Set C,gen_053,0,1,0.0,0.0,768.3,954.53,999.0,0.0,12.0,999.0,0.0,0.0,999.0,0.5336,0.6071,0.2554,432.36
pair_174,Set C,gen_054,0,1,0.0,0.0,763.59,953.3,999.0,0.0,10.75,999.0,0.0,-1.5,999.0,0.5552,0.6113,0.2656,399.89
pair_175,Set C,gen_055,0,1,0.0,0.0,180.7,925.63,999.0,0.0,10.25,999.0,0.0,-1.0,999.0,0.5896,0.5879,0.3125,489.58
pair_176,Set C,gen_056,0,1,0.0,0.0,334.7,925.63,999.0,0.0,10.25,999.0,0.0,-1.0,999.0,0.5896,0.5879,0.3125,466.33
pair_177,Set C,gen_057,0,1,0.0,0.0,405.7,191.81,999.0,0.0,9.75,999.0,0.0,0.0,999.0,0.566,0.6129,0.2714,444.74
pair_178,Set C,gen_058,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4618,0.6072,0.2073,433.19
pair_179,Set C,gen_059,0,1,0.0,0.0,403.2,910.8,999.0,0.0,10.0,999.0,0.0,0.0,999.0,0.5868,0.5643,0.3342,448.89
pair_180,Set C,gen_060,0,1,0.0,0.0,403.2,910.8,999.0,0.0,10.0,999.0,0.0,0.0,999.0,0.5868,0.5643,0.3342,433.26
pair_181,Set D,gen_001,1,1,669.0,376.0,668.2,375.91,0.81,9.44,9.25,0.19,-2.082,-2.5,0.42,0.9954,0.7356,0.9995,549.85
pair_182,Set D,gen_002,1,1,614.0,361.0,613.74,360.58,0.49,8.666,8.75,0.08,4.834,5.0,0.17,0.9965,0.786,0.9941,533.6
pair_183,Set D,gen_003,1,1,521.0,511.0,520.68,510.1,0.96,9.506,9.75,0.24,2.521,2.5,0.02,0.9958,0.8115,0.9414,649.32
pair_184,Set D,gen_004,1,1,382.0,646.0,382.32,646.47,0.57,10.703,10.75,0.05,-1.021,-1.0,0.02,0.9975,0.9548,0.8856,543.1
pair_185,Set D,gen_005,1,1,470.0,520.0,169.26,419.2,317.18,9.43,10.0,0.57,-4.296,0.0,4.3,0.9987,0.9469,0.9955,616.43
pair_186,Set D,gen_006,1,1,297.0,732.0,297.72,531.2,200.8,11.76,10.0,1.76,-4.899,0.0,4.9,0.9986,0.9479,0.985,568.63
pair_187,Set D,gen_007,1,1,454.0,498.0,664.32,497.2,210.32,8.246,10.0,1.75,3.095,0.0,3.1,0.9494,0.9069,0.4216,600.04
pair_188,Set D,gen_008,1,1,378.0,657.0,378.16,936.57,279.57,10.29,10.0,0.29,-1.864,0.0,1.86,0.8433,0.8826,0.238,549.75
pair_189,Set D,gen_009,1,1,481.0,436.0,721.0,756.44,400.35,9.448,10.0,0.55,-0.682,0.0,0.68,0.999,0.9889,0.9996,601.23
pair_190,Set D,gen_010,1,1,389.0,553.0,309.8,313.27,252.47,8.467,10.0,1.53,-0.517,0.0,0.52,0.9893,0.9162,0.6779,584.52
pair_191,Set D,gen_011,1,1,537.0,466.0,701.32,796.34,368.95,10.332,10.0,0.33,2.423,0.0,2.42,0.999,0.9971,0.9972,598.9
pair_192,Set D,gen_012,1,1,490.0,365.0,489.24,199.5,165.5,8.563,10.0,1.44,0.456,0.0,0.46,0.999,0.9906,0.9994,598.99
pair_193,Set D,gen_013,1,1,494.0,722.0,493.2,532.2,189.8,9.412,10.0,0.59,-1.172,0.0,1.17,0.9989,0.9721,0.9978,597.89
pair_194,Set D,gen_014,1,1,346.0,513.0,535.55,608.19,212.11,8.976,10.0,1.02,2.205,0.0,2.21,0.999,0.9865,0.9995,583.11
pair_195,Set D,gen_015,1,1,471.0,392.0,566.8,392.6,95.8,11.101,10.0,1.1,-3.797,0.0,3.8,0.9734,0.9735,0.4666,533.45
pair_196,Set D,gen_016,1,1,274.0,523.0,464.8,618.46,213.35,9.346,10.0,0.65,-3.927,0.0,3.93,0.999,0.9909,0.9998,766.69
pair_197,Set D,gen_017,1,1,482.0,297.0,482.2,296.2,0.82,10.248,10.25,0.0,4.409,4.0,0.41,0.9971,0.9421,0.8726,583.4
pair_198,Set D,gen_018,1,1,537.0,508.0,472.2,747.2,247.82,9.468,10.0,0.53,-3.736,0.0,3.74,0.973,0.9117,0.5259,611.5
pair_199,Set D,gen_019,1,1,513.0,529.0,511.7,528.0,1.64,9.547,9.75,0.2,-4.35,-4.0,0.35,0.9967,0.8993,0.8934,600.77
pair_200,Set D,gen_020,1,1,499.0,277.0,402.95,756.94,489.46,10.825,10.0,0.82,-3.846,0.0,3.85,0.9717,0.9193,0.5102,516.52
