pair_id,set,generator_id,gt_x,gt_y,gt_theta,gt_scale,gt_found,pred_x,pred_y,pred_theta,pred_scale,pred_found,pred_score,loc_err,scale_err,theta_err,runtime_ms
pair_186,Set D,gen_006,297.0,732.0,-4.899,11.76,1,597.6799926757812,132.8,0.0,10.0,1,0.9986,670.41,1.76,4.9,1506.76
pair_187,Set D,gen_007,454.0,498.0,3.095,8.246,1,803.2,498.44000244140625,0.0,10.0,1,0.9983,349.2,1.75,3.1,1482.98
pair_188,Set D,gen_008,378.0,657.0,-1.864,10.29,1,448.69000244140625,656.6599731445312,0.0,10.0,1,0.9978,70.69,0.29,1.86,1705.6
pair_189,Set D,gen_009,481.0,436.0,-0.682,9.448,1,440.989990234375,236.8,0.0,10.0,1,0.999,203.18,0.55,0.68,1969.78
pair_190,Set D,gen_010,389.0,553.0,-0.517,8.467,1,228.97999572753906,592.2,0.0,10.0,1,0.9983,164.75,1.53,0.52,1868.83
pair_191,Set D,gen_011,537.0,466.0,2.423,10.332,1,371.7300109863281,465.2,0.0,10.0,1,0.999,165.27,0.33,2.42,1631.41
pair_192,Set D,gen_012,490.0,365.0,0.456,8.563,1,490.5799865722656,530.1500244140625,0.0,10.0,1,0.999,165.15,1.44,0.46,1841.75
pair_193,Set D,gen_013,494.0,722.0,-1.172,9.412,1,304.7699890136719,532.7000122070312,0.0,10.0,1,0.999,267.66,0.59,1.17,1866.56
pair_194,Set D,gen_014,346.0,513.0,2.205,8.976,1,535.2,608.6799926757812,0.0,10.0,1,0.999,212.02,1.02,2.21,1834.24
pair_195,Set D,gen_015,471.0,392.0,-3.797,11.101,1,186.49000549316406,582.8,0.0,10.0,1,0.9985,342.56,1.1,3.8,1725.81
pair_196,Set D,gen_016,274.0,523.0,-3.927,9.346,1,464.4599914550781,808.8,0.0,10.0,1,0.999,343.45,0.65,3.93,1855.8
pair_197,Set D,gen_017,482.0,297.0,4.409,10.248,1,898.8,417.8,0.0,10.0,1,0.9983,433.95,0.25,4.41,1514.55
pair_198,Set D,gen_018,537.0,508.0,-3.736,9.468,1,408.239990234375,748.1400146484375,0.0,10.0,1,0.9983,272.48,0.53,3.74,1817.0
pair_199,Set D,gen_019,513.0,529.0,-4.35,9.547,1,513.1199951171875,529.8,-3.5,10.0,1,0.9594,0.81,0.45,0.85,1874.87
pair_200,Set D,gen_020,499.0,277.0,-3.846,10.825,1,498.7,276.20001220703125,-4.0,10.75,1,0.979,0.85,0.07,0.15,1668.91
